"","SeEdu_FM","LFR_FM","Life_Exp","Exp_Edu","GNI","MMR","ABR","%PR"
"1",1.00723888314374,0.890829694323144,81.6,17.5,64992,4,7.8,39.6
"2",0.996828752642706,0.818941504178273,82.4,20.2,42261,6,12.1,30.5
"3",0.98343685300207,0.825100133511348,83,15.8,56431,6,1.9,28.5
"4",0.988612836438924,0.884036144578313,80.2,18.7,44025,5,5.1,38
"5",0.969060773480663,0.828611898016997,81.6,17.9,45435,6,6.2,36.9
"6",0.992783505154639,0.807228915662651,80.9,16.5,43919,7,3.8,36.9
"7",1.02417302798982,0.779735682819383,80.9,18.6,39568,9,8.2,19.9
"8",1.00316455696203,0.817126269956459,79.1,16.5,52947,28,31,19.4
"9",1,0.867605633802817,82,15.9,42155,11,14.5,28.2
"10",0.99685204616999,0.840108401084011,81.8,19.2,32689,8,25.3,31.4
"11",0.914814814814815,0.761658031088083,83,15.4,76628,6,6,25.3
"12",0.990836197021764,0.888070692194403,82.2,15.8,45636,4,6.5,43.6
"13",0.998998998998999,0.810771470160116,80.7,16.2,39267,8,25.8,23.5
"14",0.993449781659389,0.910852713178294,82.6,19,35182,4,11.5,41.3
"15",0.864197530864198,0.694868238557559,81.9,16.9,33890,27,2.2,16.3
"16",0.966781214203895,0.837916063675832,82.4,16,30676,2,7.8,22.5
"17",1,0.784829721362229,81.7,13.9,58711,11,8.3,28.3
"18",1.01398601398601,0.693181818181818,83.5,15.3,36927,6,5.4,11.6
"19",0.934861278648975,0.801011804384486,80.8,16.3,41187,6,6.7,42.4
"20",0.9375,0.823051948051948,82.2,16,38056,12,5.7,25.7
"21",1,0.806499261447563,81.4,15.7,43869,4,4.1,30.3
"22",1,0.8703125,80.8,17.1,38695,4,9.2,42.5
"23",0.977551020408163,0.82753164556962,80.4,16.8,27852,7,0.6,27.7
"24",0.913816689466484,0.797872340425532,82.6,17.3,32045,4,10.6,38
"25",0.884472049689441,0.665546218487395,83.1,16,33030,4,4,30.1
"26",1.00200601805416,0.748169838945827,78.6,16.4,26660,5,4.9,18.9
"27",0.888059701492537,0.7072,80.9,17.6,24524,5,11.9,21
"28",1,0.815674891146589,76.8,16.5,25214,11,16.8,19.8
"29",0.930232558139535,0.787623066104079,80.2,14,28633,10,5.5,12.5
"30",1.13050847457627,0.531937172774869,78.2,13.8,123124,6,9.5,0
"31",0.995979899497487,0.744897959183674,76.3,15.1,25845,7,15.9,18.7
"32",0.928654970760234,0.75346687211094,77.4,15.5,23177,3,12.2,22.1
"33",0.944856839872746,0.829123328380386,73.3,16.4,24500,11,10.6,23.4
"34",0.877237851662404,0.571644042232277,80.6,14.4,27930,9,18.2,13
"35",0.860597439544808,0.257982120051086,74.3,16.3,52821,16,10.2,19.9
"36",0.977430555555556,0.633333333333333,76.3,17.9,22050,69,54.4,36.8
"37",1.19444444444444,0.505434782608696,77,13.3,60868,8,27.6,17.5
"38",0.959424083769633,0.657754010695187,81.7,15.2,21290,22,55.3,15.8
"39",0.989626556016598,0.829305135951662,80.9,16.3,25757,8,12.6,31.3
"40",0.991894630192503,0.746666666666667,75.2,15.4,22916,14,12.1,10.1
"41",1.10311284046693,0.451093210586881,76.6,14.4,38599,22,13.8,15
"42",0.998989898989899,0.812130177514793,74.2,15.2,22281,13,13.5,18
"43",0.908119658119658,0.76541095890411,77.3,14.8,19409,13,12.7,25.8
"44",0.987566607460036,0.524669073405536,74.4,14.7,83961,14,14.5,1.5
"45",0.889123548046463,0.75043630017452,76.2,15.2,14558,7,15.2,17.3
"46",0.943600867678959,0.793977812995246,71.3,15.7,16676,1,20.6,30.1
"47",0.968648648648649,0.796373779637378,70.1,14.7,22352,24,25.7,14.5
"48",0.82661996497373,0.351089588377724,76.8,13.6,34858,11,10.6,9.6
"49",0.935869565217391,0.750385208012327,74.7,14.2,18108,33,31,12
"50",1.08151093439364,0.723958333333333,77.2,15.5,19283,14,58.3,11.5
"51",1.04109589041096,0.873896595208071,75.4,12.6,21336,37,28.5,16.7
"52",0.964574898785425,0.869062901155327,69.4,15,20867,26,29.9,20.1
"53",1.02052451539339,0.860313315926893,75.6,15.4,12488,52,48.4,19.6
"54",0.971786833855799,0.811864406779661,74.2,14.4,15596,5,35.9,20.4
"55",1.08216432865731,0.599022004889976,77.6,13.3,18192,85,78.5,19.3
"56",0.91304347826087,0.588079470198675,74.7,12.7,22762,29,5.7,14.2
"57",0.851724137931034,0.587601078167116,74.4,15.6,17470,73,30.9,11.6
"58",0.980295566502463,0.701986754966887,70.4,12.3,26090,84,34.8,24.7
"59",0.793478260869565,0.730706075533662,74.9,14.4,12190,16,16.9,34
"60",0.942893401015228,0.62,79.4,13.8,7301,80,43.1,48.9
"61",0.956678700361011,0.328631875881523,79.3,13.8,16509,16,12,3.1
"62",1.0039603960396,0.589873417721519,79.4,13.9,13413,38,60.8,33.3
"63",0.920118343195266,0.22554347826087,75.4,15.1,15440,23,31.6,3.1
"64",1.11417322834646,0.64520202020202,74.2,14.2,16159,110,83.2,17
"65",0.65,0.415254237288136,75.3,14.5,18677,20,30.9,14.4
"66",0.951570680628272,0.46002621231979,74.9,13.7,9779,29,16.9,5.8
"67",0.919141914191419,0.564455569461827,76.8,13.1,16056,49,63.4,37.1
"68",1.04198473282443,0.735148514851485,74.5,15.2,15175,69,70.8,9.6
"69",0.967637540453074,0.752330226364847,74.9,13.8,7164,41,46.8,11.3
"70",0.962012320328542,0.903735632183908,70.8,11.9,16428,26,40,15.6
"71",0.885350318471338,0.234234234234234,74,13.5,11365,50,26.5,11.6
"72",0.723021582733813,0.638518518518518,75.4,13.4,11780,7,18.3,33.3
"73",0.956204379562044,0.795216741405082,71,15.1,8178,23,25.7,11.8
"74",0.861290322580645,0.210526315789474,74.8,14,13054,89,10,25.7
"75",0.851739788199697,0.808056872037915,74.6,13.1,11015,89,50.7,22.3
"76",0.930602957906712,0.685496183206107,77.8,11.8,9943,21,15.3,20.7
"77",0.989473684210526,0.746556473829201,74.7,12.3,8124,29,27.1,10.7
"78",0.643266475644699,0.595113438045375,76.5,13.6,9638,8,15.1,19.3
"79",1.01776649746193,0.66142684401451,75.9,14.2,10605,87,77,41.6
"80",0.816411682892907,0.816091954022989,75.8,13.1,12547,32,8.6,23.6
"81",0.995348837209302,0.520833333333333,70,15.7,7493,59,42.8,14
"82",1.01426872770511,0.816738816738817,69.4,14.6,10729,68,18.7,14.9
"83",0.875,0.796778190830235,74.4,13.5,13323,26,41,6.1
"84",1.32458233890215,0.392670157068063,71.6,14,14911,15,2.5,16
"85",0.711496746203904,0.354019746121298,74.8,14.6,10404,46,4.6,31.3
"86",1.02338129496403,0.700125470514429,74,13.5,12040,83,68.5,20.9
"87",1.05413105413105,0.791255289139633,75.7,12.4,7415,80,70.1,16.7
"88",0.990939977349943,0.7171581769437,72.8,14.7,5069,120,18.1,0
"89",1.00791556728232,0.597812879708384,70,13.6,7614,45,71.4,13.3
"90",1.04708097928437,0.652671755725191,73.5,13.1,11883,100,99.6,19.1
"91",0.94692144373673,0.588662790697674,71.1,12.7,15617,130,35.2,11.8
"92",0.834862385321101,0.725161290322581,76.8,13,12328,31,4.2,5.9
"93",1.07166666666667,0.402397260273973,73.4,12.9,5327,58,28.3,6.1
"94",0.944801026957638,0.881127450980392,64.5,12.5,16646,170,44.2,9.5
"95",0.968944099378882,0.850678733031674,71.6,11.9,5223,21,29.3,20.8
"96",0.724422442244224,0.316844919786096,71.1,13.5,10512,45,43,2.2
"97",1.49307479224377,0.859327217125382,64.4,12.5,16367,240,103,16.2
"98",0.810975609756098,0.610451306413302,68.9,13,9788,190,48.3,17.1
"99",0.855813953488372,0.65683962264151,72.9,11.9,7643,110,67,16.8
"100",1.03453689167975,0.641154328732748,68.2,11.3,7915,120,46.8,27.1
"101",0.844036697247706,0.605063291139241,73,12.3,7349,69,76,27.4
"102",0.957839262187088,0.735537190082645,57.4,13.6,12122,140,50.9,40.7
"103",0.834269662921348,0.888077858880779,75.8,11.9,5092,49,29,24.3
"104",0.805414551607445,0.793572311495674,68.3,13.2,5760,200,71.9,51.8
"105",0.976239669421488,0.70440251572327,70.6,12.5,3044,75,29.3,23.3
"106",0.553784860557769,0.213467048710602,69.4,10.1,14003,67,68.7,26.5
"107",1.26150627615063,0.529192546583851,66.4,10.3,6522,250,88.5,31.3
"108",1.02872062663185,0.590286425902864,74.9,11.5,4457,100,100.8,39.1
"109",0.685430463576159,0.349604221635884,74,11.6,6850,120,35.8,11
"110",0.968023255813953,0.858712715855573,64.8,11.3,9418,130,54.9,37.7
"111",0.943965517241379,0.558956916099773,71.8,10.7,6929,140,97.2,13.3
"112",1.04276315789474,0.763942931258106,69.4,11.2,2517,44,42.8,15.2
"113",0.477031802120141,0.337922403003755,68,11.7,5497,190,32.8,12.2
"114",1.08527131782946,0.516284680337756,73.1,11.1,3938,120,84,25.8
"115",0.985507246376812,0.863989637305699,69.5,12.6,7176,120,40.9,8.3
"116",0.728395061728395,0.185694635488308,69.6,12.3,2728,49,41.6,12.4
"117",0.84468085106383,0.938356164383562,62.3,11.1,6012,410,126.7,11.5
"118",0.586363636363636,0.853971962616822,60.1,13.5,3734,280,125.4,12.7
"119",0.698608964451314,0.942577030812325,61.4,11.5,3852,380,58.4,10.9
"120",0.825665859564165,0.682520808561237,71.6,10,3191,170,80.6,20
"121",0.432314410480349,0.910982658959538,68.4,10.9,2949,170,44.3,19
"122",0.805732484076433,0.859116022099447,61.6,11,2762,400,93.6,20.8
"123",0.463350785340314,0.917336394948335,69.6,12.4,2311,190,73.7,29.5
"124",0.418655097613883,0.296743063932449,66.2,7.8,4866,170,27.3,19.7
"125",1.49673202614379,0.913730255164034,65.9,8.6,4608,200,12.1,4.7
"126",0.842307692307692,0.613128491620112,49,11.3,5542,310,72,14.7
"127",0.589473684210526,0.976718403547672,65,9.2,2411,410,122.7,36
"128",0.610315186246418,0.830729166666667,55.5,10.4,2803,590,115.8,27.1
"129",0.785483870967742,0.927536231884058,57.5,10.9,1615,470,60.3,35.1
"130",0.397129186602871,0.36283185840708,63.1,8.5,3560,320,73.3,22.2
"131",0.524137931034483,0.952702702702703,62.6,9.9,2463,220,62.1,2.7
"132",0.322097378277154,0.35180055401662,63.8,9.2,3519,270,47,0.7
"133",1.15263157894737,0.802721088435374,49.8,11.1,3306,490,89.4,26.8
"134",0.399503722084367,0.991389913899139,59.7,12.2,1228,450,91.5,17.6
"135",0.636363636363636,0.857746478873239,62.8,8.7,1669,380,42,3.5
"136",0.909090909090909,1.01289566236811,64.2,10.3,1458,320,33.6,57.5
"137",0.683582089552239,0.957070707070707,58.5,9.8,1613,360,126.6,35
"138",0.418518518518519,0.863346104725415,59.6,11.1,1767,340,90.2,8.4
"139",0.664835164835165,0.411842105263158,63.5,7,3809,360,84,23.8
"140",0.467532467532468,0.75,66.5,7.9,2188,320,94.4,42.7
"141",0.197986577181208,0.19874213836478,60.4,9.3,1885,400,86.8,27.6
"142",0.465116279069767,0.643734643734644,51.5,8.9,3171,720,130.3,9.2
"143",0.513888888888889,1.03803680981595,62.8,10.8,747,510,144.8,16.7
"144",0.428571428571429,0.875699888017917,64.1,8.5,1428,420,78.4,25.5
"145",0.552380952380952,0.870928829915561,60.2,8.8,1507,430,115.8,9.4
"146",0.395061728395062,0.965846994535519,58.7,9.8,680,730,135.3,8.2
"147",0.391857506361323,0.898148148148148,60.9,9.5,805,640,117.4,10.7
"148",0.509933774834437,0.624078624078624,58,8.4,1583,550,175.6,9.5
"149",0.225806451612903,1.03260869565217,55.1,9.3,1123,480,137.8,39.6
"150",0.460829493087558,0.952173913043478,50.9,8.6,1780,1100,100.7,12.4
"151",0.28125,0.856666666666667,58.7,7.8,1591,400,115.4,13.3
"152",0.63855421686747,1.01585365853659,56.7,10.1,758,740,30.3,34.9
"153",0.171717171717172,0.808080808080808,51.6,7.4,2085,980,152,14.9
"154",0.378277153558052,0.853113983548766,50.7,7.2,581,880,98.3,12.5
"155",0.307692307692308,0.445930880713489,61.4,5.4,908,630,204.8,13.3
